Result_ID,Fighter_Name,Fight_ID,Decision,Match_Result,Seed,DefendingIndicator
7347,Bowser,3304,l,0,,
7348,Kirby,3305,w,3,,
7349,Wii Fit Trainer,3305,l,0,,
7350,Robin,3306,w,1,,
7351,Ken,3306,l,-1,,
7352,Daisy,3307,w,1,,
7353,Pokemon Trainer,3307,l,0,,
7354,Wolf,3308,w,2,,
7355,Rosalina & Luma,3308,l,0,,
7356,Wario,3309,w,1,,
7357,Palutena,3309,l,0,,
7358,Ganondorf,3310,w,2,,
7359,Corrin,3310,l,0,,
7360,Dark Pit,3311,w,2,,
7361,Meta Knight,3311,l,0,,
7362,Ridley,3312,l,0,,
7363,Cloud,3312,w,1,,
7364,DK,3313,l,0,,
7365,King K Rool,3313,l,0,,
7366,Lucas,3313,w,1,,
7367,Olimar,3314,l,-3,,
7368,Lucario,3314,w,3,,
7369,Zelda,3314,l,0,,
7370,Dr Mario,3315,w,3,,
7371,Pichu,3315,l,0,,
7372,Villager,3316,l,0,,
7373,Mario,3316,w,2,,
7374,Captain Falcon,3317,w,1,,
7375,Bowser,3317,l,0,,
7376,Pikachu,3318,w,3,,
7377,Young Link,3318,l,0,,
7378,Sheik,3319,l,-1,,
7379,Little Mac,3319,l,0,,
7380,Mega Man,3319,w,1,,
7381,Dark Pit,3320,l,0,,Y
7382,Lucina,3320,w,1,,
7383,Simon Belmont,3321,l,0,,Y
7384,Robin,3321,w,0,,
7385,Dr Mario,3322,l,0,,Y
7386,Mr Game & Watch,3322,w,1,,
7387,Incineroar,3323,w,1,,Y
7388,Lucario,3323,l,-1,,
7389,Marth,3324,w,1,,Y
7390,Wii Fit Trainer,3324,l,0,,
7391,Roy,3325,l,-1,,Y
7392,Mega Man,3325,w,1,,
7393,Ridley,3326,w,2,,Y
7394,Dark Samus,3326,w,2,,
7395,Fox,3326,l,0,,
7396,Falco,3326,l,0,,
7397,Diddy Kong,3327,l,0,,
7398,Mewtwo,3327,l,0,,
7399,Pit,3327,l,0,,
7400,Yoshi,3327,w,1,,
7401,Cloud,3327,l,0,,
7402,Lucas,3327,l,0,,
7403,Ice Climbers,3328,l,0,,
7404,Samus,3328,w,1,,
7405,Sonic,3328,l,0,,
7406,ROB,3328,l,0,,
7407,Link,3328,l,0,,
7408,Wario,3328,l,0,,
7409,Chrom,3329,l,0,,
7410,Shulk,3329,w,1,,
7411,Pac-Man,3329,l,0,,
7412,Ike,3329,l,0,,
7413,Captain Falcon,3329,l,0,,
7414,Pikachu,3329,l,0,,
7415,Mario,3330,w,1,,Y
7416,King Dedede,3330,l,0,,
7417,Kirby,3331,w,1,,Y
7418,Toon Link,3331,l,0,,
7419,Ganondorf,3332,w,2,,Y
7420,Luigi,3332,l,0,,
7421,Daisy,3333,l,0,,
7422,Kirby,3333,w,3,,
7423,Palutena,3334,w,1,,
7424,Ice Climbers,3334,l,0,,
7425,Bowser Jr,3335,l,0,,
7426,Marth,3335,w,1,,
7427,Link,3336,w,3,,
7428,Falco,3336,l,0,,
7429,Simon Belmont,3337,w,1,,
7430,Wolf,3337,l,-1,,
7431,Dark Samus,3338,l,0,,
7432,DK,3338,w,2,,
7433,Bayonetta,3339,l,0,,
7434,Cloud,3339,w,2,,
7435,Pit,3340,l,0,,
7436,Dark Pit,3340,w,2,,
7437,Lucas,3341,l,0,,
7438,Joker,3341,w,1,,
7439,Mewtwo,3342,l,0,,
7440,King K Rool,3342,w,2,,
7441,Inkling,3343,l,0,,
7442,Villager,3343,w,1,,
7443,Bowser,3344,w,2,,
7444,Little Mac,3344,l,0,,
7445,Pikachu,3345,w,2,,
7446,Greninja,3345,l,0,,
7447,Ike,3346,w,1,,
7448,Chrom,3346,l,0,,
7449,Roy,3347,w,2,,
7450,Captain Falcon,3347,l,-2,,
7451,Sonic,3348,w,1,,
7452,Richter Belmont,3348,l,0,,
7453,Pokemon Trainer,3349,w,3,,
7454,Fox,3349,l,0,,
7455,Jigglypuff,3350,l,0,,
7456,Samus,3350,w,3,,
7457,Ryu,3351,l,0,,
7458,Wii Fit Trainer,3351,w,3,,
7459,Palutena,3352,l,0,,
7460,Ken,3352,w,1,,
7461,Duck Hunt,3353,w,2,,
7462,Bayonetta,3353,l,0,,
7463,Olimar,3354,l,0,,
7464,Diddy Kong,3354,w,1,,
7465,Snake,3355,l,0,,
7466,Chrom,3355,l,0,,
7467,Greninja,3355,w,0,,
7468,Lucario,3355,w,1,,
7469,Luigi,3356,w,1,,
7470,Lucina,3356,l,0,,
7471,Zelda,3357,w,1,,
7472,Meta Knight,3357,l,-1,,
7473,Pirahna Plant,3358,l,0,,
7474,Peach,3358,w,1,,
7475,Sheik,3359,l,0,,
7476,Mario,3359,w,2,,
7477,Young Link,3360,l,0,,
7478,Snake,3360,w,1,,
7479,Ness,3361,w,2,,
7480,Villager,3361,l,0,,
7481,King Dedede,3362,l,0,,
7482,Ike,3362,w,3,,
7483,Robin,3363,w,1,,
7484,Bowser Jr,3363,l,0,,
7485,Fox,3364,l,0,,
7486,Wario,3364,w,2,,
7487,Falco,3365,w,3,,
7488,Wolf,3365,l,0,,
7489,Link,3366,w,3,,
7490,Ryu,3366,l,0,,
7491,Toon Link,3367,w,2,,
7492,ROB,3367,l,0,,
7493,Isabelle,3368,l,0,,
7494,King K Rool,3368,w,2,,
7495,Ganondorf,3369,w,3,,
7496,Diddy Kong,3369,l,0,,
7497,Ridley,3370,l,0,,
7498,Lucas,3370,w,2,,
7499,Luigi,3371,l,0,,
7500,Incineroar,3371,w,2,,
7501,Dark Pit,3372,w,2,,
7502,Joker,3372,l,0,,
7503,Mega Man,3373,w,2,,
7504,Pichu,3373,l,0,,
7505,Mr Game & Watch,3374,w,2,,
7506,Little Mac,3374,l,0,,
7507,Ike,3375,w,2,,
7508,Inkling,3375,l,0,,
7509,Pikachu,3376,w,2,,
7510,Pac-Man,3376,l,0,,
7511,Dr Mario,3377,w,2,,
7512,Bowser,3377,l,0,,
7513,Marth,3378,w,2,,Y
7514,Ken,3378,l,0,,
7515,Mr Game & Watch,3379,l,0,,Y
7516,Dr Mario,3379,w,1,,
7517,Incineroar,3380,w,3,,Y
7518,Zelda,3380,l,-2,,
7519,Robin,3381,w,0,,Y
7520,Simon Belmont,3381,l,0,,
7521,Mega Man,3382,w,1,,Y
7522,Roy,3382,l,-1,,
7523,Lucina,3383,w,1,,Y
7524,King K Rool,3383,l,0,,
7525,Ridley,3384,w,2,,Y
7526,Dark Samus,3384,w,1,,
7527,Lucario,3384,l,0,,
7528,Greninja,3384,l,0,,
7529,Kirby,3385,w,1,,Y
7530,Toon Link,3385,l,0,,
7531,Mario,3386,w,1,,Y
7532,Ike,3386,l,0,,
7533,Ganondorf,3387,w,2,,Y
7534,Dark Pit,3387,l,0,,
7535,Luigi,3388,w,2,,
7536,Rosalina & Luma,3388,l,0,,
7537,Sonic,3389,w,2,,
7538,Pokemon Trainer,3389,l,0,,
7539,Wario,3390,w,1,,
7540,Dark Samus,3390,l,0,,
7541,Jigglypuff,3391,l,0,,
7542,Bowser,3391,w,2,,
7543,Diddy Kong,3392,l,0,,
7544,Palutena,3392,w,2,,
7545,Wolf,3393,w,1,,
7546,Isabelle,3393,l,0,,
7547,Greninja,3394,w,2,,
7548,Daisy,3394,l,0,,
7549,Pirahna Plant,3395,l,0,,
7550,Richter Belmont,3395,w,3,,
7551,Mewtwo,3396,w,3,,
7552,DK,3396,l,0,,
7553,Ness,3397,w,2,,
7554,Link,3397,l,0,,
7555,Chrom,3398,w,1,,
7556,Meta Knight,3398,l,0,,
7557,ROB,3399,l,0,,
7558,Captain Falcon,3399,w,1,,
7559,Lucario,3400,w,1,,
7560,Ice Climbers,3400,l,0,,
7561,Pit,3401,l,0,,
7562,Fox,3401,w,1,,
7563,Joker,3402,w,1,,
7564,Ike,3402,l,-1,,
7565,Young Link,3403,l,0,,
7566,Toon Link,3403,w,3,,
7567,Simon Belmont,3404,l,0,,
7568,Kirby,3404,w,1,,
7569,Sheik,3405,w,1,,
7570,Pichu,3405,l,0,,
7571,Bowser Jr,3406,l,0,,
7572,Corrin,3406,w,1,,
7573,Luigi,3407,l,0,,
7574,Wario,3407,w,1,,
7575,Sonic,3407,l,0,,
7576,Lucina,3408,w,2,,
7577,Bayonetta,3408,l,0,,
7578,Wolf,3409,w,1,,
7579,Lucas,3409,l,0,,
7580,Zelda,3410,l,0,,
7581,Link,3410,w,1,,
7582,Greninja,3411,l,0,,
7583,Richter Belmont,3411,w,1,,
7584,Cloud,3412,l,0,,
7585,Dark Pit,3412,w,1,,
7586,Inkling,3413,w,1,,
7587,Villager,3413,l,0,,
7588,Shulk,3414,w,2,,
7589,Pac-Man,3414,l,0,,
7590,Chrom,3415,w,1,,
7591,Lucario,3415,l,0,,
7592,Roy,3416,w,1,,
7593,Pikachu,3416,l,0,,
7594,Diddy Kong,3417,w,2,,
7595,DK,3417,w,1,,
7596,Meta Knight,3417,l,0,,
7597,Bowser,3417,l,0,,
7598,Samus,3418,w,2,,
7599,Dark Samus,3418,l,0,,
7600,Jigglypuff,3419,l,0,,
7601,Pokemon Trainer,3419,w,1,,
7602,Rosalina & Luma,3419,l,0,,
7603,Sonic,3419,l,2,,
7604,Robin,3420,w,2,,
7605,Bowser,3420,l,0,,
7606,Ken,3421,l,-1,,
7607,Simon Belmont,3421,l,-1,,
7608,Ryu,3421,w,2,,
7609,Falco,3421,w,0,,
7610,Yoshi,3422,w,3,,
7611,Pirahna Plant,3422,l,0,,
7612,Incineroar,3423,w,3,,
7613,Duck Hunt,3423,l,0,,
7614,Ganondorf,3424,w,1,,
7615,King K Rool,3424,l,0,,
7616,Wolf,3425,w,2,,
7617,Richter Belmont,3425,l,0,,
7618,Ness,3426,w,1,,
7619,Dark Pit,3426,l,0,,
7620,Wii Fit Trainer,3427,w,1,,
7621,Peach,3427,l,0,,
7622,Mega Man,3428,l,0,,
7623,Captain Falcon,3428,w,1,,
7624,Snake,3429,l,0,,
7625,ROB,3429,w,2,,
7626,Mario,3430,l,0,,
7627,Dr Mario,3430,w,2,,
7628,King Dedede,3431,w,2,,
7629,Roy,3431,l,0,,
7630,Robin,3432,w,2,,Y
7631,Ryu,3432,l,-1,,
7632,Falco,3432,l,-1,,
7633,Lucina,3433,l,0,,Y
7634,Wolf,3433,w,1,,
7635,Mega Man,3434,w,0,,Y
7636,Joker,3434,l,0,,
7637,Marth,3435,w,1,,Y
7638,Palutena,3435,l,0,,
7639,Incineroar,3436,w,2,,Y
7640,Mewtwo,3436,l,0,,
7641,Dr Mario,3437,l,0,,Y
7642,Chrom,3437,w,1,,
7643,Ridley,3438,w,2,,Y
7644,Dark Samus,3438,w,2,,
7645,Diddy Kong,3438,l,0,,
7646,DK,3438,l,0,,
7647,Mario,3439,w,1,,Y
7648,King Dedede,3439,l,0,,
7649,Kirby,3440,w,1,,Y
7650,Wario,3440,l,0,,
7651,Ganondorf,3441,w,1,,Y
7652,Ness,3441,l,0,,
7653,Bowser,3442,w,1,,
7654,Pokemon Trainer,3442,l,0,,
7655,Palutena,3443,l,0,,
7656,Marth,3443,w,1,,
7657,Kirby,3444,w,1,,
7658,Falco,3444,l,0,,
7659,Pichu,3445,l,0,,
7660,Jigglypuff,3445,w,1,,
7661,Rosalina & Luma,3445,l,0,,
7662,Ryu,3445,l,0,,
7663,Corrin,3446,w,1,,
7664,Bowser Jr,3446,l,0,,
7665,Young Link,3446,l,0,,
7666,Sheik,3446,l,0,,
7667,Ganondorf,3447,w,3,,
7668,Greninja,3447,l,0,,
7669,Lucina,3448,l,0,,
7670,Lucas,3448,w,1,,
7671,Incineroar,3449,w,1,,
7672,King K Rool,3449,l,0,,
7673,Bayonetta,3450,l,0,,
7674,Duck Hunt,3450,l,0,,
7675,Isabelle,3450,l,0,,
7676,Richter Belmont,3450,w,1,,
7677,Olimar,3451,w,1,,
7678,Pirahna Plant,3451,l,0,,
7679,Daisy,3451,l,0,,
7680,Zelda,3451,l,0,,
